,Train_Accuracy_score,Test_Accuracy_score,Train_Recall_score,Test_Recall_score,Train_f1_score,Test_f1_score
DecisionTree,0.9971217105263158,0.7,1.0,0.43783783783783786,0.9971134020618557,0.49090909090909096
RandomForest,0.9971217105263158,0.7892857142857143,0.998351195383347,0.6,0.9971181556195965,0.5785714285714285
GradientBoostingClassifier,0.8704769736842105,0.7642857142857142,0.8840579710144928,0.5408805031446541,0.8681456676433654,0.5657894736842105
AdaBoostClassifier,0.7701480263157895,0.7142857142857143,0.7744360902255639,0.45989304812834225,0.7683381682552839,0.5180722891566266
BaggingClassifier,0.9868421052631579,0.7839285714285714,0.9933333333333333,0.5833333333333334,0.9867549668874172,0.5813148788927337
LogisticRegression,0.6587171052631579,0.6875,0.6660929432013769,0.4342105263157895,0.6509671993271657,0.5308310991957105
